# scan10_cut 	 pop_10_cut
1.000000000000000021e-02	1.186584380902247493e-01
5.999999999999999778e-02	2.475431603336891162e-01
1.100000000000000006e-01	5.627000714699015305e-01
1.600000000000000033e-01	8.017052530943999944e-01
2.099999999999999922e-01	9.109931841444762757e-01
2.600000000000000089e-01	8.641888579079184396e-01
3.099999999999999978e-01	6.565108716276846224e-01
3.599999999999999867e-01	3.664831083559950686e-01
4.099999999999999756e-01	1.845087996195349522e-01
4.600000000000000200e-01	5.030850572221318151e-02
5.100000000000000089e-01	1.443998086083368992e-01
5.600000000000000533e-01	3.445325435403734371e-01
6.099999999999999867e-01	6.723656692280387537e-01
6.600000000000000311e-01	7.925962750726227579e-01
7.600000000000000089e-01	8.026413517875095049e-01
8.100000000000000533e-01	6.540074321046015493e-01
8.599999999999999867e-01	4.548550583647041901e-01
9.100000000000000311e-01	1.345960825001109307e-01
9.599999999999999645e-01	1.007683904682593473e-01
1.010000000000000009e+00	1.856492764460735134e-01
1.060000000000000053e+00	5.361482580662110253e-01
1.110000000000000098e+00	6.856028256350483741e-01
1.159999999999999920e+00	8.801018486349099224e-01
1.209999999999999964e+00	8.551264681830793579e-01
1.260000000000000009e+00	8.573650934628004316e-01
1.310000000000000053e+00	6.075768262732937908e-01
1.360000000000000098e+00	2.318275376028375856e-01
1.409999999999999920e+00	1.739700099376474407e-01
1.459999999999999964e+00	1.273836772401282791e-01
1.510000000000000009e+00	3.566338084678870590e-01
1.560000000000000053e+00	7.282137974721598628e-01
1.610000000000000098e+00	8.482246002228729376e-01
1.659999999999999920e+00	8.337766100954339121e-01
1.709999999999999964e+00	7.771020178645078325e-01
1.760000000000000009e+00	5.496008694341861789e-01
1.810000000000000053e+00	4.177927629121207520e-01
1.860000000000000098e+00	2.219573338676046059e-01
1.909999999999999920e+00	1.595565454376246251e-01
1.959999999999999964e+00	2.498314997522996239e-01
2.009999999999999787e+00	4.966117602705132916e-01
2.060000000000000053e+00	7.916509552892516677e-01
2.109999999999999876e+00	8.257066969559888614e-01
2.160000000000000142e+00	7.828270759644518906e-01
2.209999999999999964e+00	5.069224161513969928e-01
2.259999999999999787e+00	3.432558329481291692e-01
2.310000000000000053e+00	1.581790335208716480e-01
2.359999999999999876e+00	3.866533253964571926e-01
2.410000000000000142e+00	3.319865127852310027e-01
2.459999999999999964e+00	4.672700645270064235e-01
2.509999999999999787e+00	6.063905726573310950e-01
2.560000000000000053e+00	6.349198344180391196e-01
2.609999999999999876e+00	7.861504003138625185e-01
2.709999999999999964e+00	5.043878512932851166e-01
2.759999999999999787e+00	3.484524557818397539e-01
2.810000000000000053e+00	1.530781892788065923e-01
2.859999999999999876e+00	2.218999148888535777e-01
2.910000000000000142e+00	5.488036585333614381e-01
2.959999999999999964e+00	7.934256183860889378e-01
3.009999999999999787e+00	8.232656907938733504e-01
3.060000000000000053e+00	8.277055163357861511e-01
3.109999999999999876e+00	3.403602120373299678e-01
3.160000000000000142e+00	4.371394165918209840e-01
3.209999999999999964e+00	1.491964966955718341e-01
3.259999999999999787e+00	4.082240930070402674e-01
3.310000000000000053e+00	2.981822395348511789e-01
3.359999999999999876e+00	6.697894284489698258e-01
3.410000000000000142e+00	8.169571349693366402e-01
3.459999999999999964e+00	8.353000463719368884e-01
