# time 	 mean 	 st dev
4.310422816311422869e-05	9.405248232732785207e-02	1.522210125772206074e-02
9.310422816311423786e-05	2.719929544324312110e-01	2.811302457445212857e-02
1.431042281631142335e-04	5.298127895502157125e-01	2.376598698372510421e-02
1.931042281631142562e-04	7.761413567096687727e-01	2.730961752955151506e-02
2.431042281631142247e-04	9.229392009120271911e-01	1.369759594625251722e-02
2.931042281631142474e-04	9.043581352054864686e-01	1.841803779651164305e-02
3.431042281631142702e-04	7.286588658839054933e-01	5.260129433162683693e-02
3.931042281631141845e-04	4.507466236059967102e-01	7.671376253185151206e-02
4.431042281631142072e-04	2.286497227197447635e-01	5.842793312999226135e-02
4.931042281631142299e-04	7.864037031573642422e-02	2.174934510835800985e-02
5.431042281631142526e-04	9.701777494708206662e-02	2.926897486049350253e-02
5.931042281631142754e-04	2.397202724109334382e-01	7.289259699937780668e-02
6.431042281631142981e-04	5.152395218191292425e-01	1.019394219242242966e-01
6.931042281631143208e-04	7.289729677894827287e-01	9.429088874266937370e-02
7.431042281631142351e-04	8.965342869864696418e-01	2.031309933457746408e-02
7.931042281631142579e-04	8.776331737002902589e-01	4.469573854732844520e-02
8.431042281631142806e-04	7.409647754223575022e-01	9.826701815305025067e-02
8.931042281631143033e-04	5.168538967744387147e-01	9.920952090139871504e-02
9.431042281631143260e-04	2.515768790529462895e-01	1.033625572539309256e-01
9.931042281631143488e-04	1.296493669749528843e-01	4.045591189447254182e-02
1.043104228163114263e-03	1.226233179228399112e-01	5.299701932661105702e-02
1.093104228163114394e-03	2.654454131260809424e-01	1.315249765463032683e-01
1.143104228163114309e-03	4.840394301365731344e-01	1.603720952427511726e-01
1.193104228163114223e-03	7.123892278561491098e-01	1.205172280190583006e-01
1.243104228163114354e-03	8.258970617951135740e-01	8.720890881045308130e-02
1.293104228163114268e-03	8.550475219943036720e-01	4.759677030761020472e-02
1.343104228163114399e-03	7.124051935790025603e-01	1.460389529706565548e-01
1.393104228163114314e-03	4.617076516819772491e-01	2.004769887437931608e-01
1.443104228163114228e-03	2.452596289535514396e-01	1.171874918490582729e-01
1.493104228163114359e-03	1.703409480980782043e-01	5.501753797961524833e-02
1.543104228163114273e-03	1.932293461880328633e-01	1.035274658462715103e-01
1.593104228163114405e-03	3.936416475857532626e-01	1.943316571651912406e-01
1.643104228163114319e-03	5.732269366536690836e-01	1.721630182099132267e-01
1.693104228163114233e-03	7.499998436434375249e-01	8.895142399866265426e-02
1.743104228163114364e-03	8.093254491788863803e-01	4.905637879048452971e-02
1.793104228163114279e-03	7.238249434241242897e-01	1.284306896590567404e-01
1.843104228163114410e-03	5.733848897224753660e-01	1.730328944222145893e-01
1.893104228163114324e-03	3.546269932998543095e-01	1.519827078246851759e-01
1.943104228163114238e-03	2.125427252760312413e-01	7.141890065729884773e-02
1.993104228163114153e-03	2.064169845071314735e-01	1.081541595622899088e-01
2.043104228163114284e-03	2.871897333606291403e-01	1.457949886265991757e-01
2.093104228163114415e-03	4.661459098133948764e-01	2.078170993823979240e-01
2.143104228163114546e-03	6.728137365635311617e-01	1.498392831071313769e-01
2.193104228163114244e-03	7.929825931325219512e-01	6.107839145668193109e-02
2.243104228163114375e-03	7.387105654210295302e-01	1.439253930993525665e-01
2.293104228163114506e-03	5.679813708925538496e-01	1.979180437147705918e-01
2.343104228163114203e-03	4.461467463470150108e-01	2.117623601458102911e-01
2.393104228163114335e-03	2.654624277742180238e-01	9.644917270608642512e-02
2.443104228163114466e-03	2.165419366009207758e-01	6.758974272632797820e-02
2.493104228163114163e-03	2.740050138878592501e-01	1.605103558214169557e-01
2.543104228163114294e-03	4.211446563077340111e-01	2.138661908350873442e-01
2.593104228163114425e-03	6.089263406675199386e-01	1.628997619049159240e-01
2.643104228163114557e-03	7.154423445085970057e-01	1.113565114274148310e-01
2.693104228163114254e-03	7.430642056834000364e-01	1.857122548311151977e-01
2.743104228163114385e-03	6.401759408136554752e-01	2.048884030507016063e-01
2.793104228163114516e-03	4.776171198582597199e-01	1.854937907544300379e-01
2.843104228163114214e-03	3.268975673345307920e-01	1.488281139516733909e-01
2.893104228163114345e-03	2.524700179600208316e-01	1.066615888294703690e-01
2.943104228163114476e-03	2.778794515075606042e-01	1.905256904828425968e-01
2.993104228163114174e-03	4.725011004850702134e-01	2.659385018547126278e-01
3.043104228163114305e-03	5.378295216683544044e-01	2.103912545044825111e-01
3.093104228163114436e-03	6.749926519339666253e-01	1.232106579854383294e-01
3.143104228163114567e-03	6.475182769232168400e-01	1.900749997594038398e-01
3.193104228163114264e-03	6.163890569476044856e-01	2.279948470092406643e-01
3.243104228163114396e-03	4.791584237337618291e-01	2.382365399944407769e-01
3.293104228163114527e-03	4.088800539448059768e-01	1.460262630241964121e-01
3.343104228163114224e-03	2.991248557975071942e-01	1.352546012730851122e-01
3.393104228163114355e-03	3.002774596996970469e-01	1.790518002489801253e-01
3.443104228163114486e-03	4.769925690873888513e-01	2.589772047049300197e-01
3.493104228163114184e-03	5.820924359692007943e-01	2.206786222926083729e-01
