# pop0 	 pop1 	 pop2 	 pop3 	 pop4 	 pop5 	 pop6 	 pop7 	 pop8 	 pop9
9.165879590047167069e-02	7.710513870449649254e-02	1.227943625667624883e-01	9.402093541920365782e-02	8.297144156015305583e-02	1.002115973637974916e-01	9.378034491779679849e-02	8.263298706489963230e-02	7.669078168547252550e-02	1.186584380902247493e-01
3.372468450878290391e-01	2.854499196341978018e-01	2.383039752329049465e-01	2.451671587520194706e-01	2.574995341381431380e-01	2.809727387191093828e-01	2.833203396430415966e-01	2.894291509403141838e-01	2.549967218430628790e-01	2.475431603336891162e-01
5.330220623315951034e-01	5.013330253158582162e-01	5.164818294597939285e-01	5.111952256358696101e-01	5.412946439329224813e-01	5.171067589452463809e-01	5.807738981449340754e-01	5.151226503895727227e-01	5.190977298764616332e-01	5.627000714699015305e-01
7.523778519375509122e-01	7.679420483420712484e-01	7.710517939257830466e-01	7.441451373331757768e-01	7.651015707037814861e-01	7.814384256596768052e-01	8.423939989134421324e-01	7.528171400404312097e-01	7.824403471463754478e-01	8.017052530943999944e-01
9.245233346635498561e-01	9.365587238122886626e-01	8.941578142369220883e-01	9.315028504964779632e-01	9.190694716896632421e-01	9.345042229463204064e-01	9.408069845141296961e-01	9.103058154209182629e-01	9.269696071955245698e-01	9.109931841444762757e-01
9.089564238596393730e-01	9.090234069799072447e-01	9.160704687148636394e-01	9.111697680887331785e-01	9.124185969612339520e-01	9.099717227699055666e-01	8.757211652447771666e-01	9.294707336377883156e-01	9.065902078900982541e-01	8.641888579079184396e-01
7.562394665700139518e-01	7.314594178124123047e-01	7.780794686264432825e-01	7.856351762490747515e-01	7.373643263641526113e-01	6.977652123438137233e-01	6.170672521870588234e-01	7.713782399838633452e-01	7.550892270745374057e-01	6.565108716276846224e-01
3.250759990892022055e-01	4.104803540413682894e-01	5.682998587217745756e-01	5.713877962807977218e-01	4.585904108448505823e-01	4.776997281545796170e-01	3.899575459860114002e-01	4.891995309450496987e-01	4.502919036403376651e-01	3.664831083559950686e-01
2.231329492900940847e-01	1.846150041370399897e-01	3.001930142423118730e-01	3.068086654136130131e-01	2.273776426375918036e-01	1.623001824738730114e-01	1.537618651912993351e-01	3.230849607869915041e-01	2.207141434050977347e-01	1.845087996195349522e-01
7.273408721873884930e-02	1.228656555170560410e-01	7.173557335864853834e-02	9.395113396214203882e-02	9.105369203022131708e-02	5.973473578012363644e-02	6.280147155759542577e-02	1.016409623174192867e-01	5.957788569320601746e-02	5.030850572221318151e-02
