# time 	 stdS 	 MC_stdErrors
4.310422816311422869e-05	1.522210125772206074e-02	4.672659044848335129e-04
9.310422816311423786e-05	2.811302457445212857e-02	4.423903270729392326e-04
1.431042281631142335e-04	2.376598698372510421e-02	5.099476564782957303e-04
1.931042281631142562e-04	2.730961752955151506e-02	6.690475208098199461e-04
2.431042281631142247e-04	1.369759594625251722e-02	7.540448809442344908e-04
2.931042281631142474e-04	1.841803779651164305e-02	1.237242456004306523e-03
3.431042281631142702e-04	5.260129433162683693e-02	1.868568360130515391e-03
3.931042281631141845e-04	7.671376253185151206e-02	2.445007281414944209e-03
4.431042281631142072e-04	5.842793312999226135e-02	3.743918932902721378e-03
4.931042281631142299e-04	2.174934510835800985e-02	3.454853777582881681e-03
5.431042281631142526e-04	2.926897486049350253e-02	4.524190394154780845e-03
5.931042281631142754e-04	7.289259699937780668e-02	6.546634102415427661e-03
6.431042281631142981e-04	1.019394219242242966e-01	5.572727493002205441e-03
6.931042281631143208e-04	9.429088874266937370e-02	6.156560300041048588e-03
7.431042281631142351e-04	2.031309933457746408e-02	7.880911744568943819e-03
7.931042281631142579e-04	4.469573854732844520e-02	8.588943488028180293e-03
8.431042281631142806e-04	9.826701815305025067e-02	9.135956048052536541e-03
8.931042281631143033e-04	9.920952090139871504e-02	8.669402454502272287e-03
9.431042281631143260e-04	1.033625572539309256e-01	1.293321536272832445e-02
9.931042281631143488e-04	4.045591189447254182e-02	1.255109495888206105e-02
1.043104228163114263e-03	5.299701932661105702e-02	1.529761068847211060e-02
1.093104228163114394e-03	1.315249765463032683e-01	1.159768235913928233e-02
1.143104228163114309e-03	1.603720952427511726e-01	1.590273284722557717e-02
1.193104228163114223e-03	1.205172280190583006e-01	2.032170067511319261e-02
1.243104228163114354e-03	8.720890881045308130e-02	1.534665521152525636e-02
1.293104228163114268e-03	4.759677030761020472e-02	1.781093044990469942e-02
1.343104228163114399e-03	1.460389529706565548e-01	2.102152894158120303e-02
1.393104228163114314e-03	2.004769887437931608e-01	2.063297718681595880e-02
1.443104228163114228e-03	1.171874918490582729e-01	1.948129958114049043e-02
1.493104228163114359e-03	5.501753797961524833e-02	2.299562092006557715e-02
1.543104228163114273e-03	1.035274658462715103e-01	2.096208612105053201e-02
1.593104228163114405e-03	1.943316571651912406e-01	2.488199014715530497e-02
1.643104228163114319e-03	1.721630182099132267e-01	2.650902351564596998e-02
1.693104228163114233e-03	8.895142399866265426e-02	2.647063730782798704e-02
1.743104228163114364e-03	4.905637879048452971e-02	2.800563536611582263e-02
1.793104228163114279e-03	1.284306896590567404e-01	2.705489203175429416e-02
1.843104228163114410e-03	1.730328944222145893e-01	3.192694788427721808e-02
1.893104228163114324e-03	1.519827078246851759e-01	2.743334809546544434e-02
1.943104228163114238e-03	7.141890065729884773e-02	3.192611205462761448e-02
1.993104228163114153e-03	1.081541595622899088e-01	3.164965358800500561e-02
2.043104228163114284e-03	1.457949886265991757e-01	3.472963212164431601e-02
2.093104228163114415e-03	2.078170993823979240e-01	3.130104353666329081e-02
2.143104228163114546e-03	1.498392831071313769e-01	3.385235592622830997e-02
2.193104228163114244e-03	6.107839145668193109e-02	2.922731025702623650e-02
2.243104228163114375e-03	1.439253930993525665e-01	3.334511989247336550e-02
2.293104228163114506e-03	1.979180437147705918e-01	3.617651300276970155e-02
2.343104228163114203e-03	2.117623601458102911e-01	3.971984692074539969e-02
2.393104228163114335e-03	9.644917270608642512e-02	4.212157246294055690e-02
2.443104228163114466e-03	6.758974272632797820e-02	4.176519788493247842e-02
2.493104228163114163e-03	1.605103558214169557e-01	3.906049246126300917e-02
2.543104228163114294e-03	2.138661908350873442e-01	3.920992282514219190e-02
2.593104228163114425e-03	1.628997619049159240e-01	3.882508854710616658e-02
2.643104228163114557e-03	1.113565114274148310e-01	4.510426422807323199e-02
2.693104228163114254e-03	1.857122548311151977e-01	4.567540143671681985e-02
2.743104228163114385e-03	2.048884030507016063e-01	4.251814979567444808e-02
2.793104228163114516e-03	1.854937907544300379e-01	3.911578231609078721e-02
2.843104228163114214e-03	1.488281139516733909e-01	4.457301035633527697e-02
2.893104228163114345e-03	1.066615888294703690e-01	5.115338644171332078e-02
2.943104228163114476e-03	1.905256904828425968e-01	4.483239926431241418e-02
2.993104228163114174e-03	2.659385018547126278e-01	4.286007956583036405e-02
3.043104228163114305e-03	2.103912545044825111e-01	4.860417033289937683e-02
3.093104228163114436e-03	1.232106579854383294e-01	4.805909283821081790e-02
3.143104228163114567e-03	1.900749997594038398e-01	4.559923320148103615e-02
3.193104228163114264e-03	2.279948470092406643e-01	4.501095383313059861e-02
3.243104228163114396e-03	2.382365399944407769e-01	4.485099492074323679e-02
3.293104228163114527e-03	1.460262630241964121e-01	4.629333128258084074e-02
3.343104228163114224e-03	1.352546012730851122e-01	4.930092699688067709e-02
3.393104228163114355e-03	1.790518002489801253e-01	4.338584643844500821e-02
3.443104228163114486e-03	2.589772047049300197e-01	4.463656473203301417e-02
3.493104228163114184e-03	2.206786222926083729e-01	4.181511035843291091e-02
